station,lon_dec,lat_dec,alt,distance_to_coastline,complexity_10km,complexity_50km,complexity_100km,mean_temp,mean_rhu,mean_pre,mean_pre_days
50953,126.5811,45.9342,115,579.08,47.56502533,61.22800446,88.8949585,"[-17.47, -12.39, -1.99, 8.24, 15.88, 21.51, 23.83, 22.09, 16.26, 7.22, -4.43, -14.82]","[70.32, 64.93, 57.22, 48.34, 53.32, 64.76, 76.28, 77.55, 68.45, 60.3, 65.44, 70.04]","[4.11, 4.93, 12.32, 21.36, 55.55, 106.74, 135.36, 112.68, 45.4, 22.49, 18.09, 7.76]","[5.23, 3.96, 5.69, 6.92, 10.96, 13.92, 13.83, 12.04, 8.62, 6.0, 6.2, 6.84]"
51839,82.6911,37.0683,1410.1,1730.43,588.5198975,693.654541,1299.025757,"[-4.8, 0.85, 10.05, 16.83, 21.35, 24.8, 26.41, 25.25, 20.32, 12.2, 4.07, -3.38]","[49.35, 40.02, 25.91, 25.19, 29.8, 35.22, 38.73, 39.77, 41.12, 40.58, 42.4, 51.84]","[1.4, 1.25, 0.87, 2.33, 7.2, 15.0, 8.73, 6.49, 4.83, 0.28, 0.22, 0.95]","[1.84, 1.17, 0.5, 0.72, 2.38, 4.19, 3.42, 2.08, 1.46, 0.19, 0.35, 1.26]"
52267,101.0611,41.9569,939,1872.02,385.0717163,386.0885925,410.5909729,"[-10.0, -4.5, 4.49, 13.15, 20.28, 26.0, 28.44, 25.94, 19.1, 9.72, -0.22, -8.74]","[48.16, 35.33, 24.57, 20.76, 19.53, 24.52, 28.62, 30.31, 31.65, 32.8, 39.74, 48.09]","[0.64, 0.2, 1.05, 2.63, 1.93, 4.73, 7.52, 6.31, 5.17, 2.88, 0.32, 0.48]","[0.96, 0.68, 0.88, 1.13, 1.36, 2.42, 3.92, 2.96, 2.04, 0.82, 0.55, 1.04]"
52533,98.4869,39.7711,1477.2,2001.19,613.842041,901.3573608,1302.462036,"[-8.77, -4.1, 3.62, 11.09, 17.19, 21.59, 23.08, 21.2, 15.53, 8.15, 0.23, -7.5]","[53.22, 44.8, 35.66, 31.85, 32.13, 40.46, 48.92, 51.41, 52.06, 46.0, 49.8, 57.13]","[2.82, 1.98, 4.54, 4.4, 8.43, 18.29, 21.02, 14.38, 11.67, 4.27, 2.17, 2.98]","[2.73, 1.62, 1.81, 2.84, 3.84, 5.46, 7.17, 5.5, 3.58, 1.68, 1.72, 2.64]"
52836,98.0964,36.2958,3192,1639.41,1348.328735,1445.633301,1585.816162,"[-9.11, -5.51, -0.32, 5.05, 9.44, 12.91, 15.69, 15.15, 10.44, 3.72, -3.0, -8.18]","[37.26, 35.89, 31.31, 30.92, 38.43, 49.59, 50.48, 48.33, 47.98, 39.32, 38.96, 37.37]","[3.46, 6.18, 6.31, 12.72, 38.62, 58.29, 56.4, 30.91, 23.75, 7.89, 5.95, 2.21]","[3.54, 4.31, 3.77, 4.58, 8.04, 11.31, 10.67, 8.75, 7.46, 3.21, 2.84, 2.8]"
53772,112.5764,37.6206,777.5,564.05,314.7328186,491.2485352,571.6146851,"[-4.39, -0.6, 6.7, 13.44, 19.46, 23.15, 24.64, 22.9, 17.82, 11.03, 3.57, -3.3]","[50.5, 48.76, 42.23, 43.52, 44.62, 54.48, 67.77, 71.6, 72.15, 67.5, 58.45, 51.25]","[3.43, 6.17, 8.22, 22.67, 29.46, 49.71, 102.17, 82.33, 69.36, 41.42, 13.34, 3.19]","[1.88, 2.64, 2.77, 5.68, 6.48, 9.38, 11.26, 10.54, 8.17, 6.58, 3.32, 1.88]"
53845,109.4497,36.5758,1180.4,929.34,462.9109192,503.4013672,525.928833,"[-4.47, -0.31, 6.65, 12.97, 17.88, 21.75, 23.51, 21.83, 16.81, 10.61, 3.64, -3.27]","[52.22, 51.24, 43.27, 43.52, 49.18, 56.71, 67.94, 72.63, 74.69, 69.21, 59.5, 52.3]","[5.32, 7.72, 11.4, 31.12, 43.64, 67.01, 129.97, 111.53, 90.63, 52.65, 16.46, 2.88]","[3.04, 3.68, 3.92, 6.04, 8.24, 9.5, 11.96, 11.58, 11.62, 9.08, 4.56, 1.88]"
54161,125.2317,43.8914,236.8,433.01,88.14961243,91.19194031,107.521759,"[-14.11, -9.56, -0.39, 9.15, 16.56, 21.45, 23.81, 22.42, 17.01, 8.26, -2.54, -11.98]","[65.74, 58.18, 50.31, 43.42, 49.35, 63.05, 75.41, 75.97, 65.17, 57.72, 62.68, 65.25]","[5.18, 5.95, 13.13, 26.03, 56.37, 100.0, 159.24, 144.41, 48.16, 26.79, 22.13, 8.88]","[5.73, 4.8, 5.69, 7.0, 10.56, 13.96, 13.22, 12.17, 7.42, 6.28, 6.8, 6.36]"
54623,117.7878,39.1586,2.7,2.17,3.983181238,4.756029606,18.50558662,"[-2.43, 0.31, 7.47, 14.44, 20.84, 24.91, 27.32, 26.65, 22.52, 15.11, 6.64, -0.6]","[54.2, 54.52, 49.05, 49.73, 53.59, 63.7, 73.12, 72.21, 65.15, 59.7, 57.09, 52.45]","[3.52, 7.12, 7.85, 23.93, 37.34, 69.96, 162.04, 146.25, 62.18, 34.12, 15.61, 3.68]","[1.85, 2.64, 2.92, 4.58, 6.36, 8.15, 10.67, 9.62, 6.04, 5.21, 3.04, 1.96]"
56173,102.5497,32.7931,3496.8,1376.16,1481.144287,1563.948364,1547.877441,"[-8.31, -5.26, -1.04, 2.96, 6.46, 9.83, 11.8, 11.15, 8.37, 3.36, -2.67, -7.27]","[55.51, 57.7, 63.79, 67.06, 70.86, 75.12, 76.49, 77.67, 79.31, 76.08, 65.82, 57.88]","[6.54, 12.56, 28.24, 50.12, 107.5, 128.68, 122.94, 106.49, 116.1, 69.13, 12.6, 3.14]","[5.92, 7.5, 12.5, 16.15, 20.8, 21.31, 17.92, 16.96, 20.38, 17.58, 7.2, 4.12]"
